no,timestamp,type,times,amount
145,2019-01-24 09:16:26,RB,27,90
145,2019-01-24 09:32:44,RB,194,99
145,2019-01-24 09:38:15,BB,47,213
145,2019-01-24 09:56:14,BB,160,214
145,2019-01-24 10:01:33,BB,3,223
145,2019-01-24 10:48:54,RB,135,88
145,2019-01-24 10:52:45,BB,15,215
145,2019-01-24 10:59:19,BB,14,204
145,2019-01-24 11:05:07,BB,1,198
145,2019-01-24 11:11:53,BB,11,217
145,2019-01-24 11:17:45,BB,2,215
145,2019-01-24 11:26:04,BB,2,204
145,2019-01-24 11:32:44,BB,5,174
145,2019-01-24 11:38:38,BB,1,218
145,2019-01-24 11:44:48,BB,7,203
145,2019-01-24 11:51:07,BB,1,212
145,2019-01-24 11:56:56,BB,5,191
145,2019-01-24 12:03:30,BB,9,205
145,2019-01-24 15:03:29,RB,888,91
145,2019-01-24 15:05:47,BB,1,210
145,2019-01-24 16:23:19,RB,371,83
145,2019-01-24 16:31:08,RB,48,91
146,2019-01-24 13:09:27,RB,201,96
146,2019-01-24 13:14:55,RB,46,98
146,2019-01-24 13:29:22,BB,122,211
146,2019-01-24 13:35:16,BB,9,228
146,2019-01-24 13:41:17,BB,1,210
146,2019-01-24 13:47:18,BB,9,209
146,2019-01-24 13:53:10,BB,1,178
146,2019-01-24 14:00:24,BB,19,212
146,2019-01-24 15:37:09,BB,398,237
146,2019-01-24 15:42:31,BB,2,208
146,2019-01-24 15:49:05,RB,21,76
146,2019-01-24 15:53:03,RB,21,81
146,2019-01-24 15:56:06,BB,6,223
146,2019-01-24 16:02:25,BB,13,204
146,2019-01-24 16:10:21,RB,20,101
146,2019-01-24 16:12:46,BB,2,218
146,2019-01-24 16:18:57,BB,9,201
146,2019-01-24 16:24:07,BB,1,193
146,2019-01-24 16:29:28,BB,2,189
146,2019-01-24 16:35:56,RB,15,103
146,2019-01-24 16:40:09,BB,1,209
146,2019-01-24 16:45:55,RB,8,91
146,2019-01-24 16:48:25,RB,4,93
146,2019-01-24 16:53:10,RB,27,90
147,2019-01-24 14:34:57,BB,516,231
147,2019-01-24 14:52:30,RB,127,103
147,2019-01-24 15:11:30,RB,230,91
147,2019-01-24 15:13:42,BB,2,229
147,2019-01-24 15:19:49,RB,16,115
147,2019-01-24 15:22:07,BB,4,221
147,2019-01-24 15:27:38,RB,8,85
147,2019-01-24 15:58:21,RB,281,77
147,2019-01-24 16:02:13,RB,18,101
147,2019-01-24 16:27:22,BB,237,211
147,2019-01-24 16:39:39,BB,15,212
148,2019-01-24 13:09:36,BB,206,202
148,2019-01-24 13:34:31,BB,177,210
148,2019-01-24 13:45:12,BB,71,196
148,2019-01-24 14:08:50,BB,172,206
148,2019-01-24 14:16:46,RB,7,88
148,2019-01-24 14:28:32,BB,99,221
148,2019-01-24 14:35:39,BB,8,223
148,2019-01-24 15:21:28,RB,274,92
148,2019-01-24 15:25:41,BB,28,187
148,2019-01-24 15:31:15,BB,6,197
148,2019-01-24 15:40:01,BB,1,186
148,2019-01-24 15:45:44,BB,5,241
148,2019-01-24 15:51:57,RB,4,84
148,2019-01-24 15:56:30,RB,5,101
148,2019-01-24 15:56:30,RB,5,101
148,2019-01-24 15:59:49,BB,1,204
148,2019-01-24 16:06:08,BB,11,235
148,2019-01-24 16:12:25,BB,5,190
148,2019-01-24 16:18:57,BB,1,172
148,2019-01-24 16:18:57,BB,1,172
148,2019-01-24 16:25:07,BB,1,197
148,2019-01-24 16:35:50,BB,71,223
148,2019-01-24 16:43:58,BB,4,214
148,2019-01-24 16:50:29,BB,1,185
149,2019-01-24 12:37:59,RB,55,76
149,2019-01-24 13:31:10,BB,586,211
149,2019-01-24 14:03:56,BB,354,209
149,2019-01-24 14:15:30,RB,88,109
149,2019-01-24 14:58:25,BB,452,228
149,2019-01-24 15:03:35,BB,1,218
149,2019-01-24 15:09:17,BB,10,204
149,2019-01-24 15:14:27,BB,1,215
149,2019-01-24 15:20:34,BB,1,180
149,2019-01-24 15:26:29,BB,8,213
149,2019-01-24 15:32:06,RB,5,103
149,2019-01-24 15:38:19,BB,51,242
149,2019-01-24 15:43:52,BB,5,231
