no,timestamp,type,times,amount
185,2019-01-11 11:03:03,BB,115,210
185,2019-01-11 11:12:44,RB,60,85
185,2019-01-11 11:15:26,RB,8,91
185,2019-01-11 11:17:47,BB,2,205
185,2019-01-11 11:23:03,BB,2,206
185,2019-01-11 11:29:13,BB,1,209
185,2019-01-11 11:39:38,BB,1,200
185,2019-01-11 11:45:12,BB,8,207
185,2019-01-11 11:50:49,BB,2,219
185,2019-01-11 11:57:24,BB,11,220
185,2019-01-11 12:04:05,BB,1,228
185,2019-01-11 12:20:52,RB,4,96
185,2019-01-11 12:23:22,BB,3,219
185,2019-01-11 12:31:08,RB,5,88
185,2019-01-11 12:33:54,BB,1,182
185,2019-01-11 12:39:58,BB,1,191
185,2019-01-11 12:45:25,BB,3,220
185,2019-01-11 12:55:54,BB,20,186
185,2019-01-11 13:04:19,BB,28,211
185,2019-01-11 13:18:39,BB,102,229
185,2019-01-11 13:24:04,RB,1,77
185,2019-01-11 13:38:18,RB,149,100
185,2019-01-11 14:14:13,RB,345,83
185,2019-01-11 14:32:28,RB,133,86
185,2019-01-11 14:44:52,BB,118,196
185,2019-01-11 14:50:08,BB,1,168
185,2019-01-11 14:59:28,RB,11,79
185,2019-01-11 15:01:52,BB,2,165
185,2019-01-11 15:11:23,BB,46,198
185,2019-01-11 15:17:09,BB,1,232
185,2019-01-11 15:22:19,RB,1,76
185,2019-01-11 15:25:49,RB,11,74
185,2019-01-11 15:30:56,RB,38,101
185,2019-01-11 16:07:22,BB,183,200
185,2019-01-11 16:15:21,BB,19,209
185,2019-01-11 16:23:37,RB,5,106
185,2019-01-11 16:27:19,RB,9,96
185,2019-01-11 16:30:32,BB,2,196
185,2019-01-11 16:37:27,RB,7,87
185,2019-01-11 16:41:37,RB,14,80
185,2019-01-11 16:45:27,BB,11,237
185,2019-01-11 16:51:55,BB,4,205
185,2019-01-11 16:58:08,BB,1,211
185,2019-01-11 17:04:51,BB,5,210
185,2019-01-11 17:11:07,BB,2,213
185,2019-01-11 17:18:41,RB,17,84
185,2019-01-11 17:29:06,BB,51,207
185,2019-01-11 17:35:40,RB,3,73
185,2019-01-11 17:38:47,RB,5,92
185,2019-01-11 17:42:38,RB,10,92
185,2019-01-11 17:45:54,BB,7,193
185,2019-01-11 17:52:25,BB,2,206
186,2019-01-11 09:19:28,RB,7,97
186,2019-01-11 10:08:44,BB,187,209
186,2019-01-11 10:15:00,BB,19,199
186,2019-01-11 16:07:31,RB,343,90
186,2019-01-11 16:09:41,BB,0,208
186,2019-01-11 16:15:02,BB,6,191
187,2019-01-11 09:12:51,BB,72,216
187,2019-01-11 10:11:24,RB,607,76
187,2019-01-11 10:21:16,BB,91,210
187,2019-01-11 10:28:41,BB,28,219
187,2019-01-11 10:36:39,RB,3,99
