no,date,count,mean,min,max,diff,first_hit
145,20190108,10,224,44,503,-1308,223
146,20190108,9,275,133,681,-2162,191
147,20190108,13,209,50,563,-482,26
148,20190108,4,152,48,346,2162,48
149,20190108,10,287,38,736,-856,93
150,20190108,8,204,128,373,641,233
151,20190108,11,174,46,428,-909,167
152,20190108,3,291,95,633,347,21
153,20190108,4,339,171,528,-1338,376
154,20190108,7,268,68,925,-2247,1
155,20190108,15,156,37,323,-174,144
156,20190108,7,243,50,1006,456,108
157,20190108,9,101,35,218,5029,7
158,20190108,7,138,51,317,3821,317
159,20190108,10,251,83,551,324,21
161,20190108,5,278,66,667,-129,349
162,20190108,11,363,58,1006,-4746,270
163,20190108,2,333,232,434,-1147,434
164,20190108,9,166,69,317,460,139
165,20190108,12,213,60,502,185,117
166,20190108,13,231,55,823,-729,217
167,20190108,9,230,39,500,-224,498
168,20190108,10,185,60,471,1200,76
169,20190108,9,300,58,612,1348,4
171,20190108,8,130,45,367,4941,6
172,20190108,4,239,50,470,-370,60
173,20190108,12,214,60,432,-1878,285
174,20190108,11,245,56,550,-206,3
175,20190108,9,194,54,380,-97,8
176,20190108,9,308,92,738,35,92
145,20190109,9,258,41,610,-1383,237
146,20190109,3,220,76,490,-644,490
147,20190109,14,161,34,575,540,134
148,20190109,7,164,42,350,488,350
149,20190109,8,145,37,357,1356,37
150,20190109,2,178,153,204,3080,153
151,20190109,2,556,512,601,-1935,512
152,20190109,9,285,50,999,-2340,8
153,20190109,6,203,41,431,-386,346
154,20190109,12,202,38,702,2126,13
155,20190109,3,314,261,393,543,393
156,20190109,1,171,171,171,127,171
157,20190109,8,111,38,242,4664,102
159,20190109,7,140,34,286,4129,119
161,20190109,7,237,55,444,311,15
163,20190109,3,207,156,289,1947,176
164,20190109,14,172,39,571,1981,12
165,20190109,6,223,42,606,-221,72
166,20190109,4,289,55,839,-1892,839
167,20190109,12,158,42,302,2403,21
168,20190109,7,145,46,344,-390,344
170,20190109,9,268,67,499,1834,6
171,20190109,3,225,135,324,14,324
172,20190109,5,338,35,1000,1977,400
173,20190109,3,285,157,462,-350,462
174,20190109,10,276,55,559,-2891,93
175,20190109,15,200,41,497,-540,69
176,20190109,8,230,80,461,-882,454
145,20190110,14,231,65,786,-2905,150
146,20190110,15,213,62,763,-1646,103
147,20190110,8,179,65,386,2232,386
148,20190110,3,266,50,563,1102,563
149,20190110,9,308,51,931,-1303,5
150,20190110,9,226,84,348,1183,3
151,20190110,12,277,42,882,-3016,149
152,20190110,11,216,56,595,-477,137
153,20190110,3,227,119,359,912,205
154,20190110,7,326,56,805,1523,3
155,20190110,4,193,87,313,539,242
156,20190110,5,342,268,446,-2044,377
157,20190110,5,179,82,325,1753,82
158,20190110,6,112,51,187,2410,51
159,20190110,6,320,130,553,-2752,12
161,20190110,9,222,58,913,1025,130
163,20190110,10,276,38,776,-3032,11
164,20190110,2,386,179,593,-1378,593
165,20190110,14,191,36,647,-699,45
166,20190110,3,209,149,270,6003,5
167,20190110,9,258,37,694,-1898,202
168,20190110,6,248,92,374,912,18
169,20190110,4,413,36,732,-1470,36
170,20190110,5,174,35,573,2364,35
171,20190110,8,156,39,277,1870,270
172,20190110,13,182,63,379,2179,146
173,20190110,5,243,44,787,1946,128
174,20190110,10,283,86,860,-1692,126
175,20190110,8,522,71,1078,-5840,1024
176,20190110,13,204,43,496,-2347,132
145,20190111,14,228,40,676,-2365,7
146,20190111,12,189,47,638,1669,68
147,20190111,9,258,45,600,-33,183
148,20190111,11,259,35,951,1321,28
149,20190111,8,407,48,782,-2981,553
150,20190111,13,196,46,640,23,191
151,20190111,20,177,38,1030,366,646
152,20190111,11,195,38,499,1078,91
153,20190111,10,210,61,423,3005,121
154,20190111,11,216,36,696,70,185
155,20190111,13,174,37,630,1226,124
156,20190111,12,194,45,432,248,68
157,20190111,13,247,44,804,-3027,258
158,20190111,13,260,65,858,-2656,167
159,20190111,11,236,56,493,1100,260
161,20190111,10,236,38,640,1151,69
163,20190111,13,207,44,643,1556,100
164,20190111,20,196,36,506,-3959,282
165,20190111,14,205,38,542,-1045,54
166,20190111,7,308,62,671,-1423,31
167,20190111,6,412,80,852,-620,101
168,20190111,13,189,34,449,2058,34
169,20190111,12,209,41,419,3883,41
170,20190111,11,274,50,902,-851,50
171,20190111,12,217,34,596,706,312
172,20190111,11,229,58,801,570,15
173,20190111,13,190,35,690,4045,118
174,20190111,17,152,34,446,-222,264
175,20190111,15,225,50,689,-897,102
176,20190111,17,174,37,590,-99,41
145,20190113,23,231,36,764,-5904,112
146,20190113,16,330,43,1012,-582,18
147,20190113,16,278,59,735,360,490
148,20190113,22,184,35,430,-196,42
149,20190113,23,171,39,585,3562,39
150,20190113,20,223,49,999,-1032,309
151,20190113,21,182,35,451,4497,257
152,20190113,27,199,36,620,-4075,28
153,20190113,13,320,35,904,-3320,423
154,20190113,15,230,46,666,6939,22
155,20190113,15,220,42,515,-832,4
156,20190113,14,225,44,744,2443,14
157,20190113,15,279,74,1000,-1060,74
158,20190113,24,199,51,609,1287,71
159,20190113,13,300,76,911,-674,135
160,20190113,17,216,34,697,2040,174
161,20190113,25,163,34,1012,2070,158
162,20190113,22,209,41,1000,2048,56
163,20190113,17,243,40,756,1639,50
164,20190113,21,260,50,1000,-3210,50
165,20190113,19,185,38,554,2105,81
166,20190113,13,352,35,1000,-4843,902
167,20190113,16,203,53,612,1756,28
168,20190113,23,224,34,720,-4725,383
169,20190113,11,277,107,480,864,480
170,20190113,16,175,40,635,3830,17
171,20190113,21,203,36,796,4169,383
172,20190113,16,317,66,974,-5178,162
173,20190113,24,174,38,557,3840,26
174,20190113,28,147,41,507,964,5
175,20190113,27,148,34,484,2231,1
176,20190113,19,357,35,1006,-7214,83
145,20190114,22,182,35,543,1113,90
146,20190114,16,249,53,953,-2085,100
147,20190114,24,194,36,634,1611,80
148,20190114,18,244,64,629,-2398,24
149,20190114,15,292,36,1007,-5023,419
150,20190114,19,207,46,769,-23,431
151,20190114,14,186,42,793,2683,116
152,20190114,18,271,36,944,-3344,77
153,20190114,12,106,35,175,10329,22
154,20190114,14,217,37,657,-3068,22
155,20190114,15,310,37,762,-4027,13
156,20190114,17,213,34,660,1682,162
157,20190114,11,338,83,1035,2565,468
158,20190114,20,254,55,713,-1839,4
159,20190114,12,281,44,603,-3178,507
160,20190114,13,312,82,743,-2358,344
161,20190114,30,197,36,753,-528,275
162,20190114,22,178,48,787,2009,90
163,20190114,16,224,51,1000,-163,132
164,20190114,21,214,34,1012,409,66
165,20190114,15,365,86,1012,-7400,221
166,20190114,9,303,41,809,2593,15
167,20190114,19,185,43,570,5522,570
168,20190114,15,258,36,511,3331,18
169,20190114,16,290,38,1006,1360,273
170,20190114,19,258,37,939,-117,320
171,20190114,10,350,34,999,-806,263
172,20190114,17,276,34,825,-3173,406
173,20190114,23,201,39,790,-2609,83
174,20190114,20,189,35,624,3941,15
175,20190114,17,227,35,751,2970,10
176,20190114,24,196,40,793,-174,72
145,20190115,15,200,40,968,1594,17
146,20190115,14,145,42,420,2223,143
147,20190115,6,241,39,492,277,492
148,20190115,10,221,68,756,989,245
149,20190115,2,611,567,656,-1965,567
150,20190115,8,250,63,466,1940,206
151,20190115,15,188,34,562,1767,14
152,20190115,13,164,36,424,2846,254
153,20190115,10,326,131,901,-4965,593
154,20190115,4,341,53,645,-1298,645
155,20190115,13,255,49,1006,-2421,83
156,20190115,11,179,45,561,-780,21
157,20190115,3,402,34,782,-1663,34
158,20190115,13,148,34,680,2993,124
159,20190115,7,228,44,534,-1616,6
160,20190115,3,44,35,57,9439,57
161,20190115,12,217,34,715,-1302,49
162,20190115,4,238,73,594,3219,73
163,20190115,2,240,184,297,2949,2
164,20190115,6,201,35,440,6171,35
165,20190115,8,218,50,503,-583,347
166,20190115,6,319,77,960,-2787,172
167,20190115,3,389,193,681,333,681
168,20190115,5,491,155,1006,-3203,1
