date,total_diff,total_average,first_average,less_30,less_50,less_100,less_200
20190108,1945,225,151,30,33,46,66
20190109,13667,213,226,21,25,35,57
20190110,-4546,245,178,23,33,40,70
20190111,3896,220,152,10,23,43,76
20190113,3801,224,158,31,37,59,75
20190114,-196,236,178,28,28,50,62
20190115,-3133,239,205,18,34,46,65
20190117,-7965,239,236,9,18,37,59
20190118,7211,241,178,15,31,40,62
20190119,-3784,231,270,9,12,34,50
20190120,-10947,233,218,12,15,28,62
20190121,-10232,232,184,12,31,43,59
20190122,12838,229,174,15,34,53,65
20190123,-11881,231,156,12,28,46,65
20190124,538,230,173,15,31,53,62
20190125,15685,236,207,9,15,34,62
20190126,1652,227,180,12,15,21,68
20190127,8345,232,261,3,6,21,43
20190128,-3396,239,145,15,34,50,75
20190129,-8498,240,154,9,29,51,74
20190130,-21542,231,154,46,46,59,75
20190131,30691,209,180,18,25,37,62
20190201,1010,227,235,12,15,34,59
