no,date,count,mean,min,max,diff,first_hit
185,20190108,8,190,69,538,1960,215
186,20190108,6,273,51,717,-661,11
187,20190108,6,222,129,329,-1379,129
188,20190108,12,176,40,541,-265,130
189,20190108,8,293,95,461,-526,461
190,20190108,4,359,130,767,-2438,401
191,20190108,16,192,40,405,23,4
192,20190108,5,187,72,404,-1136,264
193,20190108,10,160,40,329,2784,329
194,20190108,11,217,40,1012,1386,40
195,20190108,9,318,41,772,-2731,49
196,20190108,4,242,112,530,-1143,530
197,20190108,16,180,40,402,-1568,31
198,20190108,10,162,36,432,4324,1
227,20190108,7,211,80,391,516,260
228,20190108,13,233,57,758,-1860,23
229,20190108,6,172,84,343,-70,221
230,20190108,10,268,43,884,-2135,272
231,20190108,17,132,42,289,2156,94
232,20190108,12,138,38,446,406,236
233,20190108,9,206,71,416,2401,182
234,20190108,6,434,67,1000,-3102,1000
235,20190108,5,311,70,700,-490,129
236,20190108,9,257,36,697,-2170,30
237,20190108,8,172,39,408,810,408
238,20190108,12,313,34,791,-5353,588
239,20190108,8,214,57,618,846,343
240,20190108,6,204,35,485,40,170
185,20190109,5,130,34,306,1166,306
186,20190109,4,266,114,477,-904,235
187,20190109,17,177,34,514,564,64
188,20190109,16,168,35,357,691,7
189,20190109,12,177,35,651,485,46
190,20190109,3,75,37,139,795,139
191,20190109,15,310,48,1012,-4175,495
192,20190109,6,233,97,451,-1903,451
193,20190109,10,342,43,949,-3723,43
194,20190109,10,208,34,650,815,650
195,20190109,8,244,67,598,516,30
196,20190109,4,221,38,474,3805,276
197,20190109,14,215,57,575,-2010,66
198,20190109,4,370,39,689,797,135
227,20190109,12,179,84,531,-37,16
228,20190109,13,173,35,399,-222,38
229,20190109,13,204,35,422,-901,11
230,20190109,4,509,105,838,-711,335
231,20190109,12,123,50,339,2524,104
232,20190109,8,95,44,275,2599,275
233,20190109,9,251,59,562,1054,562
234,20190109,15,155,49,322,804,244
235,20190109,7,187,45,440,1977,21
236,20190109,8,300,131,756,-1642,186
237,20190109,6,140,54,356,5028,16
238,20190109,5,223,36,538,5610,108
239,20190109,8,107,38,242,5759,33
240,20190109,5,118,35,285,849,285
185,20190110,11,245,40,698,-1709,9
186,20190110,13,198,36,888,-450,106
187,20190110,7,318,153,935,-2504,295
188,20190110,7,260,43,645,2409,135
189,20190110,12,208,45,597,1947,291
190,20190110,3,218,147,282,3146,147
191,20190110,18,190,49,645,-398,85
192,20190110,11,191,39,535,1456,180
193,20190110,9,219,41,495,75,211
194,20190110,5,162,69,321,5500,32
227,20190110,9,193,40,707,1886,147
228,20190110,15,199,37,498,561,49
229,20190110,13,162,39,331,1163,72
230,20190110,19,193,37,449,-969,54
231,20190110,3,350,84,547,-1507,421
232,20190110,6,340,76,631,-315,188
233,20190110,12,243,62,520,-1205,520
234,20190110,11,301,49,763,-3369,173
235,20190110,6,378,129,681,-3096,483
236,20190110,13,193,42,453,1993,118
237,20190110,10,189,74,470,-376,94
238,20190110,16,142,38,872,1593,20
239,20190110,11,230,34,571,723,310
240,20190110,11,277,65,558,-3401,112
185,20190111,11,121,38,345,4873,115
186,20190111,2,265,187,343,-227,7
187,20190111,15,180,34,607,1722,72
188,20190111,13,194,38,438,240,157
189,20190111,6,354,39,851,-3593,851
190,20190111,13,279,34,1000,-2892,102
191,20190111,8,277,42,556,-2608,384
192,20190111,8,286,42,1088,-3029,42
193,20190111,6,320,44,614,-2047,614
194,20190111,7,165,69,435,3867,98
227,20190111,11,238,42,1006,-2142,119
228,20190111,12,387,51,899,-5694,13
229,20190111,7,336,75,992,489,233
230,20190111,12,169,45,368,1235,191
231,20190111,12,234,45,406,-1035,405
232,20190111,9,208,35,416,1045,118
233,20190111,11,163,40,360,-1359,102
234,20190111,15,236,34,757,-632,34
235,20190111,8,157,126,213,2747,136
236,20190111,7,181,50,333,2515,30
237,20190111,4,213,119,455,4585,455
238,20190111,8,260,102,615,-1403,156
239,20190111,4,300,103,430,-1683,430
240,20190111,8,318,130,528,-3698,26
185,20190113,11,213,34,581,-875,63
186,20190113,12,260,51,951,-1502,111
187,20190113,18,199,46,651,203,67
188,20190113,10,189,40,454,-400,124
189,20190113,26,177,34,649,1018,67
190,20190113,15,157,34,500,790,108
