date,total_diff,total_average,first_average,less_30,less_50,less_100,less_200
20190108,-9377,219,233,14,28,32,50
20190109,19613,206,184,17,35,42,60
20190110,3153,220,177,8,16,33,70
20190111,-8726,240,203,12,25,33,70
20190113,-3009,208,169,10,14,42,71
20190114,2326,218,208,3,17,42,60
20190115,8446,204,230,3,14,32,57
20190117,12477,214,150,17,32,57,82
20190118,-1633,211,186,14,17,32,67
20190119,22527,211,171,14,28,57,75
20190120,3129,226,205,14,25,42,60
20190121,-7082,229,216,14,21,35,60
20190122,21338,196,165,21,25,35,71
20190123,11108,221,260,14,21,39,67
20190124,13027,211,199,7,15,26,57
20190125,14466,216,178,10,17,46,71
20190126,12602,226,156,17,28,60,67
20190127,13045,234,209,11,11,29,55
20190128,-5665,221,137,14,35,53,71
20190129,2868,219,129,18,33,59,85
20190130,-27906,235,122,28,35,75,85
20190131,10383,198,196,7,17,42,75
20190201,17466,222,175,17,28,50,71
